Sample,Facies,Time,NO3_corrected,DOC_corrected,SO4_corrected
A403,T2,0.0,0.013496186831743934,0.006357420215278242,
A403,T2,3.0,0.011787964947259089,0.006604202949367451,
A403,T2,5.0,0.008224249397126553,0.0037711123303387213,
A403,T2,14.0,0.004858597729136548,0.002474963258768528,
A403,T2,25.0,0.004400101989695045,,
A403,T2,37.0,0.004413280936826318,0.002512460104193721,
A403,T2,51.0,0.0039342152402106504,0.002197209959137624,
A403,T2,65.0,0.0031666639095921153,0.002137998445646208,
A403,T2,84.0,0.0028040656817345092,,
A403,T2,100.0,,0.0025694709067531018,
A403,T2,108.0,0.0027996783241748028,0.002522827434671054,
A403,T2,134.0,0.0027996783241748028,0.002457492022187764,
A403,T2,150.0,0.0027996783241748028,0.0024281697260289323,
A403,T2,170.0,0.0027996783241748028,0.002378292494416437,
A405,T4,0.0,0.0193867065860531,0.006081830797115435,
A405,T4,3.0,0.018957574397479544,0.005566772486842313,
A405,T4,5.0,0.019269570074493966,0.005893279266154836,
A405,T4,14.0,0.018343774165525555,0.005025631337721707,
A405,T4,25.0,0.01610602477017419,,
A405,T4,37.0,0.015198400982495874,0.0038833387814724875,
A405,T4,51.0,0.015007102570536618,0.0031200451212904288,
A405,T4,65.0,0.014565741035473244,0.0032596012525896285,
A405,T4,84.0,0.014345121660243211,,
A405,T4,100.0,,0.0037311732609876078,
A405,T4,108.0,0.014059279103734133,0.003265347908874714,
A405,T4,134.0,0.014193973813566805,0.0039006080088785826,
A405,T4,150.0,0.014172854861797233,0.0039033069005999744,
A405,T4,170.0,0.01417270752027326,0.0037221864987725182,
A406,T8,0.0,0.06812297189880642,0.03103918077498008,
A406,T8,3.0,0.06835601059872212,0.03533088294812019,
A406,T8,5.0,0.069992460135908,0.0313649143129725,
A406,T8,14.0,0.06564536362573431,0.025954571556883157,
A406,T8,25.0,0.03473206669814025,0.017312212129906135,
A406,T8,37.0,0.030877046463162743,0.018152441518640015,
A406,T8,51.0,0.03080095219380251,0.015398189387031556,
A406,T8,65.0,0.029311026399729177,0.016261857698677922,
